id,allergen_name,danger_level,symptoms,ingredients,source,notes,created_date
1,Peanuts,4,"Anaphylaxis, difficulty breathing, swelling of face and throat, hives, rapid pulse","Peanut oil, peanut flour, peanut butter, groundnuts, arachis oil, mixed nuts",,Carry EpiPen at all times. Avoid all products processed in facilities that handle peanuts.,2025-09-21 20:04:03
4,Tree Nuts,4,"Anaphylaxis, swelling, difficulty breathing, skin reactions","Almonds, walnuts, pecans, cashews, pistachios, brazil nuts, hazelnuts, macadamia nuts",,Different tree nuts may cause different severities. Some people allergic to only specific nuts.,2025-09-21 20:04:03
8,Fish,3,"Hives, swelling, gastrointestinal problems, respiratory issues","Salmon, tuna, cod, halibut, anchovies, fish sauce, worcestershire sauce",,May be allergic to specific types of fish only. Cross-contamination risk in restaurants.,2025-09-21 20:04:03
9,Sesame,3,"Anaphylaxis, hives, difficulty breathing, gastrointestinal symptoms","Sesame seeds, tahini, sesame oil, hummus, halva, some bread toppings",,Increasingly recognized allergen. Now required to be labeled in many countries.,2025-09-21 20:04:03
3,Shellfish,3,"Hives, vomiting, difficulty swallowing, abdominal pain, dizziness","Shrimp, crab, lobster, crawfish, mollusks, oysters, clams, mussels",,Cross-contamination risk high in seafood restaurants. Often develops in adulthood.,2025-09-21 20:04:03
5,Eggs,2,"Skin rash, stomach upset, respiratory problems, runny nose","Albumin, egg whites, egg yolks, mayonnaise, meringue, custard, lecithin",,Often outgrown by adolescence. Some people can tolerate baked eggs but not raw.,2025-09-21 20:04:03
2,Milk,2,"Stomach pain, bloating, diarrhea, nausea, gas","Lactose, casein, whey, butter, cream, cheese, yogurt, milk powder",,Lactose-free alternatives available. Severity varies with amount consumed.,2025-09-21 20:04:03
7,Wheat,2,"Digestive issues, skin problems, respiratory symptoms, headache","Wheat flour, gluten, bread, pasta, cereals, crackers, beer",,Different from celiac disease. May be able to tolerate other grains like rice and corn.,2025-09-21 20:04:03
6,Soy,1,"Mild stomach upset, skin irritation, runny nose","Soy sauce, tofu, tempeh, soy milk, soy protein, edamame, miso",,Common in processed foods. Often mild reactions. Check labels carefully.,2025-09-21 20:04:03
10,Strawberries,1,"Oral allergy syndrome, mild hives, itchy mouth and throat","Fresh strawberries, strawberry flavoring, strawberry jam, smoothies",,Often part of oral allergy syndrome. May be related to birch pollen allergy.,2025-09-21 20:04:03
