id,allergen_name,danger_level,symptoms,ingredients,source,notes,created_date
1,Peanuts,4,"Anaphylaxis, difficulty breathing, swelling of face and throat, hives, rapid pulse","Peanut oil, peanut flour, peanut butter, groundnuts, arachis oil, mixed nuts",,Carry EpiPen at all times. Avoid all products processed in facilities that handle peanuts.,2025-09-21 20:04:03
4,Tree Nuts,4,"Anaphylaxis, swelling, difficulty breathing, skin reactions","Almonds, walnuts, pecans, cashews, pistachios, brazil nuts, hazelnuts, macadamia nuts",,Different tree nuts may cause different severities. Some people allergic to only specific nuts.,2025-09-21 20:04:03
61,Clam,3,"Hives, swelling, anaphylaxis","Clams, clam chowder, seafood mixes",,Shellfish family.,2025-09-21 20:19:03
58,Crab,3,"Hives, swelling, anaphylaxis","Crab, crab cakes, seafood mixes",,Shellfish family.,2025-09-21 20:19:02
8,Fish,3,"Hives, swelling, gastrointestinal problems, respiratory issues","Salmon, tuna, cod, halibut, anchovies, fish sauce, worcestershire sauce",,May be allergic to specific types of fish only. Cross-contamination risk in restaurants.,2025-09-21 20:04:03
59,Lobster,3,"Hives, swelling, anaphylaxis","Lobster, lobster bisque, seafood mixes",,Shellfish family.,2025-09-21 20:19:03
14,Mollusks,3,"Hives, swelling, anaphylaxis, digestive symptoms","Snails, clams, oysters, squid, octopus, scallops",,Common in Mediterranean diets. Not always labeled.,2025-09-21 20:18:59
64,Octopus,3,"Hives, swelling, anaphylaxis","Octopus, seafood mixes",,Shellfish family.,2025-09-21 20:19:03
62,Oyster,3,"Hives, swelling, anaphylaxis","Oysters, oyster sauce, seafood mixes",,Shellfish family.,2025-09-21 20:19:03
65,Scallop,3,"Hives, swelling, anaphylaxis","Scallops, seafood mixes",,Shellfish family.,2025-09-21 20:19:03
9,Sesame,3,"Anaphylaxis, hives, difficulty breathing, gastrointestinal symptoms","Sesame seeds, tahini, sesame oil, hummus, halva, some bread toppings",,Increasingly recognized allergen. Now required to be labeled in many countries.,2025-09-21 20:04:03
3,Shellfish,3,"Hives, vomiting, difficulty swallowing, abdominal pain, dizziness","Shrimp, crab, lobster, crawfish, mollusks, oysters, clams, mussels",,Cross-contamination risk high in seafood restaurants. Often develops in adulthood.,2025-09-21 20:04:03
60,Shrimp,3,"Hives, swelling, anaphylaxis","Shrimp, prawns, seafood mixes",,Shellfish family.,2025-09-21 20:19:03
63,Squid,3,"Hives, swelling, anaphylaxis","Squid, calamari, seafood mixes",,Shellfish family.,2025-09-21 20:19:03
53,Almond,2,"Hives, anaphylaxis","Almonds, marzipan, almond milk, nut mixes",,Tree nut.,2025-09-21 20:19:02
52,Brazil Nut,2,"Hives, anaphylaxis","Brazil nuts, nut mixes, desserts",,Tree nut.,2025-09-21 20:19:02
50,Cashew,2,"Hives, anaphylaxis","Cashews, nut butters, nut mixes",,Tree nut.,2025-09-21 20:19:02
12,Celery,2,"Oral allergy syndrome, anaphylaxis, skin reactions","Celery root, celery salt, celery stalks, soups, spice mixes",,Common in Europe. Can cause severe reactions.,2025-09-21 20:18:59
5,Eggs,2,"Skin rash, stomach upset, respiratory problems, runny nose","Albumin, egg whites, egg yolks, mayonnaise, meringue, custard, lecithin",,Often outgrown by adolescence. Some people can tolerate baked eggs but not raw.,2025-09-21 20:04:03
47,Hazelnut,2,"Itchy mouth, hives, oral allergy syndrome","Hazelnuts, chocolate spreads, praline",,Tree nut. Cross-reacts with birch pollen.,2025-09-21 20:19:02
13,Lupin,2,"Hives, stomach upset, anaphylaxis","Lupin flour, lupin beans, gluten-free products",,Legume family. Increasingly used in gluten-free foods.,2025-09-21 20:18:59
46,Macadamia Nut,2,"Hives, anaphylaxis","Macadamia nuts, cookies, nut mixes",,Tree nut.,2025-09-21 20:19:02
2,Milk,2,"Stomach pain, bloating, diarrhea, nausea, gas","Lactose, casein, whey, butter, cream, cheese, yogurt, milk powder",,Lactose-free alternatives available. Severity varies with amount consumed.,2025-09-21 20:04:03
11,Mustard,2,"Hives, itching, swelling, difficulty breathing","Mustard seeds, mustard powder, prepared mustard, salad dressings",,Common in Europe and Canada. Can cause severe reactions.,2025-09-21 20:18:59
48,Pecan,2,"Hives, anaphylaxis","Pecans, pies, nut mixes",,Tree nut.,2025-09-21 20:19:02
51,Pistachio,2,"Hives, anaphylaxis","Pistachios, nut mixes, desserts",,Tree nut.,2025-09-21 20:19:02
66,Snail,2,"Hives, swelling, anaphylaxis","Escargot, snail dishes",,Mollusk family.,2025-09-21 20:19:03
49,Walnut,2,"Hives, anaphylaxis","Walnuts, brownies, nut mixes",,Tree nut.,2025-09-21 20:19:02
7,Wheat,2,"Digestive issues, skin problems, respiratory symptoms, headache","Wheat flour, gluten, bread, pasta, cereals, crackers, beer",,Different from celiac disease. May be able to tolerate other grains like rice and corn.,2025-09-21 20:04:03
91,Allspice,1,"Hives, oral allergy syndrome","Allspice, spice mixes, baked goods",,Spice allergy.,2025-09-21 20:19:05
18,Apple,1,"Itchy mouth, throat, mild swelling, oral allergy syndrome","Raw apples, apple juice, cider, apple sauce",,Often related to birch pollen allergy. Cooked apples usually tolerated.,2025-09-21 20:19:00
35,Apricot,1,"Itchy mouth, oral allergy syndrome","Fresh apricot, dried apricot, jam",,Rosaceae family.,2025-09-21 20:19:01
20,Avocado,1,"Itchy mouth, swelling, stomach upset, oral allergy syndrome","Avocado, guacamole, sushi rolls",,Latex-fruit syndrome. Cross-reacts with banana and chestnut.,2025-09-21 20:19:00
16,Banana,1,"Itchy mouth, swelling lips, oral allergy syndrome","Banana, banana chips, smoothies",,Latex-fruit syndrome possible. Related to birch pollen.,2025-09-21 20:18:59
55,Barley,1,"Hives, stomach upset, oral allergy syndrome","Barley flour, beer, soups, cereals",,Contains gluten.,2025-09-21 20:19:02
