allergen_name,danger_level,symptoms,ingredients,source,notes
Peanuts,4,"Anaphylaxis, difficulty breathing, swelling of face and throat, hives, rapid pulse","Peanut oil, peanut flour, peanut butter, groundnuts, arachis oil, mixed nuts",,"Carry EpiPen at all times. Avoid all products processed in facilities that handle peanuts."
Milk,2,"Stomach pain, bloating, diarrhea, nausea, gas","Lactose, casein, whey, butter, cream, cheese, yogurt, milk powder",,"Lactose-free alternatives available. Severity varies with amount consumed."
Shellfish,3,"Hives, vomiting, difficulty swallowing, abdominal pain, dizziness","Shrimp, crab, lobster, crawfish, mollusks, oysters, clams, mussels",,"Cross-contamination risk high in seafood restaurants. Often develops in adulthood."
Tree Nuts,4,"Anaphylaxis, swelling, difficulty breathing, skin reactions","Almonds, walnuts, pecans, cashews, pistachios, brazil nuts, hazelnuts, macadamia nuts",,"Different tree nuts may cause different severities. Some people allergic to only specific nuts."
Eggs,2,"Skin rash, stomach upset, respiratory problems, runny nose","Albumin, egg whites, egg yolks, mayonnaise, meringue, custard, lecithin",,"Often outgrown by adolescence. Some people can tolerate baked eggs but not raw."
Soy,1,"Mild stomach upset, skin irritation, runny nose","Soy sauce, tofu, tempeh, soy milk, soy protein, edamame, miso",,"Common in processed foods. Often mild reactions. Check labels carefully."
Wheat,2,"Digestive issues, skin problems, respiratory symptoms, headache","Wheat flour, gluten, bread, pasta, cereals, crackers, beer",,"Different from celiac disease. May be able to tolerate other grains like rice and corn."
Fish,3,"Hives, swelling, gastrointestinal problems, respiratory issues","Salmon, tuna, cod, halibut, anchovies, fish sauce, worcestershire sauce",,"May be allergic to specific types of fish only. Cross-contamination risk in restaurants."
Sesame,3,"Anaphylaxis, hives, difficulty breathing, gastrointestinal symptoms","Sesame seeds, tahini, sesame oil, hummus, halva, some bread toppings",,"Increasingly recognized allergen. Now required to be labeled in many countries."
Strawberries,1,"Oral allergy syndrome, mild hives, itchy mouth and throat","Fresh strawberries, strawberry flavoring, strawberry jam, smoothies",,"Often part of oral allergy syndrome. May be related to birch pollen allergy."
Mustard,2,"Hives, itching, swelling, difficulty breathing","Mustard seeds, mustard powder, prepared mustard, salad dressings",,"Common in Europe and Canada. Can cause severe reactions."
Celery,2,"Oral allergy syndrome, anaphylaxis, skin reactions","Celery root, celery salt, celery stalks, soups, spice mixes",,"Common in Europe. Can cause severe reactions."
Lupin,2,"Hives, stomach upset, anaphylaxis","Lupin flour, lupin beans, gluten-free products",,"Legume family. Increasingly used in gluten-free foods."
Mollusks,3,"Hives, swelling, anaphylaxis, digestive symptoms","Snails, clams, oysters, squid, octopus, scallops",,"Common in Mediterranean diets. Not always labeled."
Buckwheat,1,"Skin rash, asthma, anaphylaxis","Buckwheat flour, soba noodles, pancakes",,"Common in Asia. Not related to wheat."
Banana,1,"Itchy mouth, swelling lips, oral allergy syndrome","Banana, banana chips, smoothies",,"Latex-fruit syndrome possible. Related to birch pollen."
Kiwi,1,"Tingling mouth, swelling, hives, oral allergy syndrome","Kiwi fruit, fruit salads, juices",,"Common in children. May cross-react with latex."
Apple,1,"Itchy mouth, throat, mild swelling, oral allergy syndrome","Raw apples, apple juice, cider, apple sauce",,"Often related to birch pollen allergy. Cooked apples usually tolerated."
Tomato,1,"Itchy mouth, hives, swelling, oral allergy syndrome","Raw tomatoes, tomato sauce, ketchup, pizza",,"Nightshade family. May cross-react with grass pollen."
Avocado,1,"Itchy mouth, swelling, stomach upset, oral allergy syndrome","Avocado, guacamole, sushi rolls",,"Latex-fruit syndrome. Cross-reacts with banana and chestnut."
Corn,1,"Hives, stomach upset, asthma, anaphylaxis (rare)","Corn syrup, corn starch, popcorn, tortillas, polenta",,"Often mild. Corn is in many processed foods."
Garlic,1,"Digestive upset, hives, asthma, anaphylaxis (rare)","Garlic powder, fresh garlic, sauces, dressings",,"Can be severe. Common in Mediterranean and Asian cuisine."
Onion,1,"Stomach upset, hives, oral allergy syndrome","Raw onion, onion powder, soups, salads",,"Often mild. Related to pollen allergies."
